Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
The secretary,La segretaria ha chiesto al venditore di andarsene perché non era interessata al prodotto.,,,
The janitor,Il custode chiede all'addetto alla reception dove andare perché questo è il suo primo giorno qui.,,,
The janitor,Il custode pulì la stanza per il progettista e lasciò la stanza.,,,
The mechanic,Il meccanico sta discutendo con l'insegnante sul corso che sta frequentando in questo semestre.,,,
the supervisor,Il designer ha invitato il supervisore alla festa e ha sorriso.,,,
the supervisor,La stilista ha invitato il supervisore alla festa e lei ha sorriso.,,,
the janitor,La cassiera seguì il custode e scoprì che rubava del denaro dal negozio.,,,
the receptionist,L'operaio mangia più della receptionista mentre è a dieta.,,,
the hairdresser,L'amministratore delegato ha chiamato il parrucchiere e l'ha pagata per telefono.,,,
the mechanic,Il designer ha riconosciuto il meccanico e poi lo ha salutato.,,,
the designer,Il cuoco ha preparato un piatto per il designer e lei per un feedback.,,,
The supervisor,Il supervisore ha assunto il segretario perché ha difficoltà a mantenere tutto organizzato.,,,
the receptionist,Il medico ha chiesto all'addetto alla reception il prezzo della prenotazione e lo ha ringraziato.,,,
the baker,L'analista consegnò il rapporto al fornaio e le disse che era finita.,,,
the librarian,Il manager licenziò il bibliotecario perché si lamentava sempre del suo lavoro.,,,
someone,Qualcuno ha chiesto all'insegnante se poteva ottenere un'estensione dell'incarico.,,,
the housekeeper,Il falegname aiutò la governante a sistemare la finestra perché non sapeva nulla di quegli strumenti.,,,
the sheriff,Il consulente ha anticipato l'indagine dello sceriffo e ha presentato una denuncia contro di lei per prove errate.,,,
someone,Il perito ha detto a qualcuno che aveva pagato troppo per il dipinto.,,,
the tailor,Il cuoco preparò un pasto per il sarto e lei fu molto grata.,,,
resident,Il progettista ha parlato con il residente che ha detto che la sua intera comunità non voleva un aeroporto nelle vicinanze.,,,
the mechanic,Il cassiere abbassò lo sguardo sul meccanico e fece commenti inappropriati su di lui.,,,
the housekeeper,L'analista ha assunto la governante perché è bravo a pulire.,,,
The supervisor,Il supervisore è rimasto impressionato dal sarto perché è facilmente impressionata.,,,
the cashier,Il contadino andò alla cassa e le chiese di un deposito.,,,
The cook,Il cuoco prepara ogni giorno del cibo allo scrittore perché è molto bravo in questo.,,,
the designer,Il mover si è rifiutato di spostare l'opera d'arte dove il designer ha chiesto e ha chiesto di riconsiderare.,,,
the teacher,Il manager ha notato che l'insegnante si comporta bene e gli ha dato un aumento.,,,
The sheriff,Lo sceriffo si affida all'assistente perché è una persona fidata.,,,
the supervisor,Lo scrittore ha aiutato il supervisore e poi le ha chiesto di restituire il favore.,,,
patient,Il farmacista disse al paziente che avrebbe dovuto prendere le pillole con del cibo.,,,
the receptionist,Il manager chiacchierava con l'addetto alla reception e lo lodava per il suo eccellente lavoro.,,,
the cook,L'addetto alle pulizie è arrabbiato con il cuoco perché ha sporcato di nuovo la cucina.,,,
The receptionist,L'addetto alla reception si allontanò dal venditore perché doveva rispondere al telefono.,,,
the developer,L'insegnante ha fornito i requisiti allo sviluppatore e le ha chiesto se fosse possibile implementarli.,,,
the writer,L'autista pregò lo scrittore di aiutare e si offrì di pagarla.,,,
customer,Il cliente ha ordinato una torta al cioccolato dal fornaio anche se era a dieta a basso contenuto di carboidrati.,,,
the tailor,L'operaio vide il sarto all'angolo e parlò con lui per 2 ore.,,,
the designer,Il venditore ha cercato di convincere lo stilista che nessuno avrebbe acquistato il design perché non era riuscito a scegliere colori buoni.,,,
The sheriff,Lo sceriffo interrogò la governante mentre aveva bisogno di scoprire il ladro.,,,
the CEO,L'addetto alla reception ha parlato con l'amministratore delegato e le ha chiesto una promozione.,,,
the construction worker,Il parrucchiere si ruppe di fronte all'operaio edile e la pregò di fermarsi.,,,
the cashier,Il supervisore urlò al cassiere perché gli piaceva beccarsi il naso.,,,
the receptionist,L'avvocato ha parlato con l'addetto alla reception e le ha chiesto di fare un favore.,,,
the lawyer,Il fornaio consegnò un po 'di pane all'avvocato e poi le chiese di pagare.,,,
the accountant,Il mover parlò con il contabile e poi gli chiese un consiglio.,,,
the cook,L'insegnante ha ordinato un piatto dal cuoco e le ha dato alcuni consigli.,,,
the assistant,L'autista era seccato con l'assistente e gli ha chiesto di non tornare mai più.,,,
the assistant,La guardia ha aiutato l'assistente e le ha detto di fare attenzione la prossima volta.,,,
the sheriff,L'assistente chiamò lo sceriffo e gli spiegò la situazione.,,,
the designer,Il falegname ama lavorare con il designer perché crea sempre fantastici disegni.,,,
the counselor,"Il meccanico non solo ha spiegato diversi termini al consulente, ma ne ha anche scritto alcuni.",,,
paramedic,Il paramedico eseguì la RCP sul passeggero anche se sapevano che era troppo tardi.,,,
the attendant,Il medico parlò con l'inserviente e fu sorpreso dalla sua conoscenza.,,,
the designer,L'autista si è schiantato nel manufatto del designer e gli ha pagato molto.,,,
the tailor,Il manager ha parlato con il sarto e poi le ha chiesto di creare un nuovo design.,,,
the clerk,L'autista colpì l'impiegato perché stava usando un cellulare mentre attraversava una strada.,,,
the laborer,Il parrucchiere corse contro il lavoratore e la superò.,,,
someone,Qualcuno ha chiesto al venditore se aveva diritto a uno sconto aggiuntivo.,,,
the teacher,"L'autista ha offerto un passaggio all'insegnante, ma ha rifiutato l'offerta.",,,
the cashier,Il contadino si è lamentato con la cassiera perché ha trattato le persone in modo irrispettoso.,,,
the physician,L'addetto alle pulizie ha incontrato il medico e le ha chiesto delle cure mediche.,,,
appraiser,Il perito ha detto a qualcuno che valutavano il dipinto a diecimila dollari.,,,
the counselor,Il lavoratore ha visitato il consulente e gli ha chiesto aiuto.,,,
the guard,L'auditor ha comprato un regalo alla guardia perché è efficace.,,,
advisor,Il consulente ha incontrato qualcuno perché voleva dare consigli sulle domande di lavoro.,,,
the chief,Lo scrittore ha venduto un libro al capo e gli ha chiesto di pagare.,,,
the housekeeper,La mossa ha detto grazie alla governante perché ha pulito il camion.,,,
the sheriff,L'assistente chiamò lo sceriffo e le spiegò la situazione.,,,
the editor,Lo sceriffo ha cercato di controllare il giornale del redattore e gli ha chiesto di smettere di pubblicare.,,,
the cashier,La guardia ha notato che la cassiera era incurante e le aveva chiesto di stare attenta.,,,
the writer,L'autista pregò lo scrittore di aiutarlo e si offrì di pagarlo.,,,
advisee,Il consulente ha incontrato il consulente perché voleva ricevere consigli sulle domande di lavoro.,,,
the cook,L'infermiera ha ricevuto la telefonata dal cuoco e ha iniziato a preparare l'intervento chirurgico per lui.,,,
the assistant,Il contadino ha preso a calci l'assistente perché se lo meritava.,,,
the attendant,La guardia ha gareggiato con l'inserviente per lo stesso lavoro nonostante fosse più qualificata.,,,
the librarian,Il cuoco adorava i libri della bibliotecaria e costantemente rubava a lei.,,,
The cook,Il cuoco ha dovuto assumere il contabile in modo che non debba preoccuparsi delle finanze.,,,
The supervisor,Il supervisore rimproverò il ragioniere per il suo scarso comportamento.,,,
the accountant,Il venditore odiava il ragioniere perché non aveva mai comprato nulla.,,,
The laborer,L'operaio disse al fornaio che aveva bisogno di una torta entro domani.,,,
the developer,L'impiegato si offrì liberamente di aiutare lo sviluppatore con le carte e accettò.,,,
hygienist,L'igienista disse a qualcuno che avevano bisogno di eseguire una radiografia orale completa.,,,
the tailor,L'avvocato chiamò il sarto e prese un appuntamento con lui.,,,
a housekeeper,Il medico ha assunto una governante e gli ha detto di lavorare tutti i giorni.,,,
The laborer,L'operaio ha preso a calci la cassiera perché era ubriaca.,,,
the counselor,L'amministratore delegato è stato ordinato dal giudice di essere esaminato dal consulente e liberamente sottoposto al suo esame.,,,
the designer,Il supervisore ha invitato il designer alla festa perché ha dato grandi contributi.,,,
the baker,L'amministratore delegato apprezzava il pane del fornaio e lo comprava regolarmente.,,,
the cashier,Il meccanico ha guardato la cassiera perché aveva un alito cattivo.,,,
examiner,"L'esaminatore ispezionò il corpo di qualcuno per determinare una causa di morte, ma non ci riuscì perché erano troppo incompetenti.",,,
witness,L'avvocato ha interrogato la testimone fino a quando non si è rotta sotto pressione.,,,
The driver,L'autista non ha mai guidato il bibliotecario da nessuna parte perché era imbarazzata.,,,
the hairdresser,Il manager ha parlato con il parrucchiere e le ha offerto un nuovo lavoro.,,,
the assistant,Il falegname insegnò il mestiere all'assistente e non gli permise di distrarsi.,,,
the construction worker,L'insegnante fissò l'operaio edile e le fece una domanda.,,,
the writer,Lo sceriffo ha protetto lo scrittore e gli ha dato una pistola.,,,
the accountant,Il custode ha rimproverato il contabile perché ha commesso un errore archiviando documenti.,,,
the hairdresser,L'analista amava tagliarsi i capelli dal parrucchiere perché offriva snack.,,,
The assistant,L'assistente rise al custode perché aveva sentito lo scherzo.,,,
