sentid	sentence	English	Spanish
technician.customer.1.male.txt	The technician told the customer that he could pay with cash.	The technician told the customer that he could pay with cash.	El técnico le dijo al cliente que podía pagar en efectivo.
technician.customer.1.female.txt	The technician told the customer that she could pay with cash.	The technician told the customer that she could pay with cash.	El técnico le dijo al cliente que podía pagar en efectivo.
technician.customer.1.neutral.txt	The technician told the customer that they could pay with cash.	The technician told the customer that they could pay with cash.	El técnico le dijo al cliente que podía pagar en efectivo.
technician.someone.1.male.txt	The technician told someone that he could pay with cash.	The technician told someone that he could pay with cash.	El técnico le dijo a alguien que podía pagar en efectivo.
technician.someone.1.female.txt	The technician told someone that she could pay with cash.	The technician told someone that she could pay with cash.	El técnico le dijo a alguien que podía pagar en efectivo.
technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.	The technician told someone that they could pay with cash.	El técnico le dijo a alguien que podía pagar en efectivo.
technician.customer.0.male.txt	The technician told the customer that he had completed the repair.	The technician told the customer that he had completed the repair.	El técnico le dijo al cliente que había completado la reparación.
technician.customer.0.female.txt	The technician told the customer that she had completed the repair.	The technician told the customer that she had completed the repair.	El técnico le dijo al cliente que ella había completado la reparación.
technician.customer.0.neutral.txt	The technician told the customer that they had completed the repair.	The technician told the customer that they had completed the repair.	El técnico le dijo al cliente que había completado la reparación.
technician.someone.0.male.txt	The technician told someone that he had completed the repair.	The technician told someone that he had completed the repair.	El técnico le dijo a alguien que había completado la reparación.
technician.someone.0.female.txt	The technician told someone that she had completed the repair.	The technician told someone that she had completed the repair.	El técnico le dijo a alguien que ella había completado la reparación.
technician.someone.0.neutral.txt	The technician told someone that they had completed the repair.	The technician told someone that they had completed the repair.	El técnico le dijo a alguien que habían completado la reparación.
accountant.taxpayer.1.male.txt	The taxpayer met with the accountant to get help filing his taxes.	The taxpayer met with the accountant to get help filing his taxes.	El contribuyente se reunió con el contador para obtener ayuda para presentar sus impuestos.
accountant.taxpayer.1.female.txt	The taxpayer met with the accountant to get help filing her taxes.	The taxpayer met with the accountant to get help filing her taxes.	El contribuyente se reunió con el contador para obtener ayuda para presentar sus impuestos.
accountant.taxpayer.1.neutral.txt	The taxpayer met with the accountant to get help filing their taxes.	The taxpayer met with the accountant to get help filing their taxes.	El contribuyente se reunió con el contador para obtener ayuda para presentar sus impuestos.
accountant.someone.1.male.txt	Someone met with the accountant to get help filing his taxes.	Someone met with the accountant to get help filing his taxes.	Alguien se reunió con el contador para obtener ayuda para presentar sus impuestos.
accountant.someone.1.female.txt	Someone met with the accountant to get help filing her taxes.	Someone met with the accountant to get help filing her taxes.	Alguien se reunió con el contador para obtener ayuda para presentar sus impuestos.
accountant.someone.1.neutral.txt	Someone met with the accountant to get help filing their taxes.	Someone met with the accountant to get help filing their taxes.	Alguien se reunió con el contador para obtener ayuda para presentar sus impuestos.
accountant.taxpayer.0.male.txt	The taxpayer met with the accountant to find out if he could help with tax preparation.	The taxpayer met with the accountant to find out if he could help with tax preparation.	El contribuyente se reunió con el contador para averiguar si podía ayudar con la preparación de los impuestos.
accountant.taxpayer.0.female.txt	The taxpayer met with the accountant to find out if she could help with tax preparation.	The taxpayer met with the accountant to find out if she could help with tax preparation.	El contribuyente se reunió con el contador para averiguar si podía ayudar con la preparación de los impuestos.
accountant.taxpayer.0.neutral.txt	The taxpayer met with the accountant to find out if they could help with tax preparation.	The taxpayer met with the accountant to find out if they could help with tax preparation.	El contribuyente se reunió con el contador para averiguar si podrían ayudar con la preparación de los impuestos.
accountant.someone.0.male.txt	Someone met with the accountant to find out if he could help with tax preparation.	Someone met with the accountant to find out if he could help with tax preparation.	Alguien se reunió con el contador para averiguar si podía ayudar con la preparación de los impuestos.
accountant.someone.0.female.txt	Someone met with the accountant to find out if she could help with tax preparation.	Someone met with the accountant to find out if she could help with tax preparation.	Alguien se reunió con el contador para averiguar si podía ayudar con la preparación de los impuestos.
accountant.someone.0.neutral.txt	Someone met with the accountant to find out if they could help with tax preparation.	Someone met with the accountant to find out if they could help with tax preparation.	Alguien se reunió con el contador para averiguar si podrían ayudar con la preparación de los impuestos.
supervisor.employee.1.male.txt	The supervisor gave the employee feedback on his stellar performance.	The supervisor gave the employee feedback on his stellar performance.	El supervisor le dio al empleado retroalimentación sobre su desempeño estelar.
supervisor.employee.1.female.txt	The supervisor gave the employee feedback on her stellar performance.	The supervisor gave the employee feedback on her stellar performance.	El supervisor le dio a la empleada retroalimentación sobre su desempeño estelar.
supervisor.employee.1.neutral.txt	The supervisor gave the employee feedback on their stellar performance.	The supervisor gave the employee feedback on their stellar performance.	El supervisor le dio al empleado retroalimentación sobre su desempeño estelar.
