Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
2674,the clerk,Il motore vide come debole l'impiegato era e spostato la scrivania per lei.,,,
2420,the cleaner,Il venditore chiacchierava con il pulitore e la persuase a comprare un vuoto.,,,
1942,The construction worker,Il lavoratore edile ha assunto il pulitore in modo da poter concentrarsi solo sui lavori di costruzione.,,,
3022,the writer,L'agricoltore ha comprato un libro dallo scrittore e l'ha pagata.,,,
1081,the guard,Il Segretario non vide mai la guardia e non voleva il suo lavoro.,,,
1049,the salesperson,Il contabile non ha mai comprato nulla dal venditore e odiava tutte le sue offerte.,,,
3712,someone,Qualcuno ha ordinato una torta al cioccolato dal panettiere anche se era su una dieta povera di carboidrati.,,,
2266,The janitor,Il custode chiede all'addetto alla reception dove andare perché questo è il suo primo giorno qui.,,,
1672,The cook,Il cuoco preparò una zuppa per la governante perché stava testando un nuovo piatto.,,,
3543,someone,Il pianificatore ha parlato con qualcuno che ha detto che la sua intera comunità non voleva un aeroporto nelle vicinanze.,,,
1163,the clerk,Lo sceriffo salutò l'impiegato e gli augurava una buona giornata.,,,
2088,The sheriff,Lo sceriffo ha chiesto al contabile molte domande perché è un uomo sospetto.,,,
1434,the receptionist,Il medico ha chiesto all'addetto alla reception circa il prezzo di prenotazione e lo ringraziò.,,,
1768,the designer,La guardia complimentato il progettista per il suo gusto eccellente.,,,
1702,The lawyer,"L'avvocato ha esaminato accuse illegali contro il cassiere, perché aveva bisogno di capire il caso.",,,
1936,The supervisor,Il supervisore era preoccupato per una visita da parte del revisore perché aveva perso la traccia delle spese.,,,
1324,the sheriff,L'insegnante visitò lo sceriffo e le chiese alcune domande.,,,
2143,The chief,Il capo si lamentò con il cassiere delle sue osservazioni.,,,
3582,student,L'istruttore incoraggiò lo studente a perseguire i suoi sogni.,,,
931,the carpenter,Il contabile ha preparato il rapporto fiscale per il falegname e le ha chiesto di pagare.,,,
2590,the editor,Il lavoratore ha detto all'editore che aveva bisogno di un lavoro e le ha consegnato l'applicazione.,,,
2216,The guard,La guardia sta dicendo al sarto quale disegno vuole.,,,
813,the farmer,La governante ha dato il contadino una mela e la desiderava una buona giornata.,,,
255,the counselor,L'amministratore delegato è stato esaminato dal consigliere per la forma fisica perché gli è stato ordinato dal tribunale.,,,
3460,someone,Qualcuno ha lasciato il barista una grossa mancia perché si sentiva generosa.,,,
772,the counselor,Lo sceriffo ha detto al consigliere che era sotto inchiesta.,,,
1370,the laborer,"Il ragioniere ha chiesto al lavoratore di unirsi alla riunione, ma lei ha dimenticato.",,,
1999,the accountant,Il cuoco ha dovuto assumere il contabile in modo che lei possa fornire aiuto con le questioni finanziarie.,,,
2796,the lawyer,Il consigliere ha fornito una testimonianza all'avvocato e gli ha chiesto di mantenerlo confidenziale.,,,
2181,the accountant,Lo sviluppatore non riusciva a capire il contabile perché ha slurred il suo discorso.,,,
535,The cleaner,Il pulitore si è arrabbiato con il contadino perché doveva pulire la sala di nuovo.,,,
719,the physician,La governante disturba molto il medico perché sa di medicina.,,,
3060,the tailor,Il motore è andato alla casa del sarto e l'ha aiutata a muovere le scatole.,,,
1693,the librarian,Il custode puliva la stanza della bibliotecaria e lei era grata.,,,
208,The guard,La guardia proteggeva l'insegnante perché era coraggiosa.,,,
860,the cleaner,Il direttore ha elogiato il pulitore e lo ha eletto per essere il dipendente del giorno.,,,
1538,the auditor,Il falegname non sapeva cosa fare quando il revisore è arrivato e semplicemente gli ha dato tutte le scartoffie.,,,
526,The sheriff,Lo sceriffo ha chiesto all'addetto alla reception la strada per la toilette perché non aveva idea.,,,
1330,the developer,L'addetto alla reception ha riconosciuto lo sviluppatore e l'ha portato alla lobby.,,,
3652,someone,"Il macchinista ha dato a qualcuno una dimostrazione laser cutter, ma ha detto che era troppo pericoloso per lei di provarlo.",,,
2137,the assistant,Il Manager ha accettato di alzare lo stipendio dell'assistente perché lavorava molto duramente.,,,
3587,someone,L'istruttore incoraggiò qualcuno a perseguire i propri sogni.,,,
2307,the designer,Il conducente ha portato il progettista alcune idee che ha migliorato il suo design molto.,,,
3393,janitor,"Il custode ha avvertito qualcuno di non calpestare il pavimento bagnato, altrimenti avrebbe dovuto strofinare tutto di nuovo.",,,
1928,The CEO,Il CEO ha assunto l'editore perché ha licenziato l'ultimo.,,,
639,the housekeeper,Il falegname aiutò la governante a riparare la finestra perché non sapeva nulla di quegli strumenti.,,,
850,the driver,Il parrucchiere gridò al conducente e uscì dalla sua auto.,,,
3132,the tailor,"Il custode odiava lavorare per il sarto, ma ha fatto quello che ha detto.",,,
2264,The sheriff,Lo sceriffo ha chiesto all'infermiera di andare insieme perché ha bisogno di aiuto per affrontare l'incidente.,,,
2728,the supervisor,Il revisore ha ammonito il supervisore e gli ha emesso un avvertimento.,,,
2513,the CEO,L'addetto non riusciva a capire il CEO e gli chiese di nuovo la domanda.,,,
1089,the receptionist,L'analista era stanco di ricevere segnalazioni negative dall'addetto alla reception e gli ha detto di andarsene.,,,
1055,the construction worker,L'infermiera ha visto il lavoratore edile farsi male e l'ha esaminata.,,,
2878,the janitor,Il cassiere ha seguito il custode e ha scoperto che ha rubato dei soldi dal negozio.,,,
259,the baker,Il capo consegnò i soldi del panettiere in pagamento per il suo pane.,,,
3415,physician,Il medico ha avvertito il paziente che non poteva prescrivere in modo sicuro una dose più alta.,,,
3032,the housekeeper,Lo sviluppatore ha venduto con successo la governante il prodotto e l'ha aiutata a creare.,,,
1808,The nurse,L'infermiera ha esaminato l'agricoltore per le ferite perché era premurosa.,,,
463,the writer,L'avvocato rappresentava lo scrittore perché era in gravi difficoltà legali.,,,
1310,the supervisor,"L'addetto alla reception incolpò il supervisore per l'errore, ma non poteva esprimere insoddisfazione con lei.",,,
2753,the editor,Il medico contattò l'editore e le chiese di pubblicare in una rivista medica.,,,
3306,teenager,L'adolescente confidò nel terapeuta perché cercava un sostegno emotivo.,,,
1224,the analyst,L'addetto ha servito l'analista e la faceva sentire accolto.,,,
2030,The construction worker,Il lavoratore edile ha consegnato forme all'impiegato in modo da poter avviare un nuovo progetto di sviluppo.,,,
6,the analyst,L'assistente ha scansionato i documenti per l'analista perché ha chiesto.,,,
3819,painter,Il pittore vendette un'intera collezione di dipinti a qualcuno perché dovette chiudere la galleria.,,,
1467,the chief,L'addetto alla reception è stato assunto dal capo e riceverà il pagamento da lei.,,,
60,The developer,Lo sviluppatore ha creato un sito Web per il sarto perché è un esperto nella costruzione di siti Web.,,,
2109,the counselor,La guardia ha controllato l'identità del consigliere e l'ha lasciata entrare nell'edificio.,,,
