Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
2743,the teacher,El jefe le explicó la situación a la maestra y se sintió comprendida por ella.,Y,F,
440,The guard,El guardia nunca habló con el contador porque ella nunca patrulló el interior.,Y,M,
404,The laborer,El trabajador fue remitido a la diseñadora porque estaba buscando remodelar una casa.,Y,M,
833,the auditor,El guardia le compró un regalo al auditor y le deseaba unas buenas vacaciones.,Y,M,
3525,teacher,Alguien le preguntó al maestro si podía otorgar una extensión a la tarea.,Y,M,
1962,The farmer,El agricultor visitó al empleado para que le preguntara sobre una licencia de cultivo.,Y,M,
259,the baker,El jefe le entregó al panadero dinero en pago por su pan.,Y,M,
849,the physician,El cajero le debía dinero al médico y se negó a pagarle.,Y,M,
2372,The chief,El jefe le pidió al limpiador que se fuera inmediatamente después de que su oficina estuviera limpia.,Y,M,
684,The mover,El motor golpeó al sastre porque ella era grosera.,N,,
405,the designer,El trabajador fue referido al diseñador porque era el mejor.,Y,M,
3621,someone,El paramédico le realizó RCP a alguien aunque ya estaba muerto.,Y,N,
2533,the chief,El consejero llamó al jefe y le pidió un permiso.,Y,M,
994,the attendant,El carpintero a menudo construía objetos para el asistente y obtenía su amor.,Y,M,
1545,the CEO,La maestra no pudo soportar al CEO y le falló a propósito a su hijo.,Y,M,No es en español 
3850,chef,El chef salió a disculparse con alguien que no estaba contento con su estilo de preparación.,Y,M,
3005,the mechanic,El maestro aprendió mucho del mecánico y le envió una tarjeta de agradecimiento.,Y,M,
151,the supervisor,El empleado engañó al supervisor y se confundió.,Y,M,
1973,the cashier,El granjero se quejó con el cajero porque trató a las personas con falta de respeto.,Y,M,
964,the clerk,El vendedor saludó al empleado y luego le guiñó un ojo.,Y,M,
3444,witness,"El investigador quiso entrevistar al testigo en persona, pero era inalcanzable.",Y,M,
1622,the salesperson,"El asistente compró una computadora nueva debido a una recomendación del vendedor, porque es persuasivo.",Y,M,
3484,someone,El electricista le advirtió a alguien que no intentara volver a cablear nada por su cuenta.,Y,N,
340,The laborer,El trabajador le dijo a la maestra que ella también era maestra cuando era más joven.,Y,M,
3028,the baker,El conserje limpió para el panadero y le pidió los consejos.,Y,M,
835,the secretary,La empresa de mudanzas llamó a la secretaria y le pidió que viniera.,Y,F,
3008,the guard,El sastre detuvo la guardia y le mostró su identificación.,Y,F,
2545,the construction worker,El sastre se ofreció a hacerle un suéter al obrero de la construcción y luego lo besó.,Y,F,
3516,student,El estudiante le preguntó al maestro si podía obtener una extensión de la tarea.,Y,M,
3153,the physician,El sastre esperó al médico y le entregó un traje.,Y,M,
1596,The lawyer,El abogado le gritó a la peluquera porque estaba loco.,Y,M,
1324,the sheriff,La maestra visitó al sheriff y le hizo algunas preguntas.,Y,M,
2391,the cook,El profesor ordenó un plato al cocinero y le dio algunos consejos.,Y,M,
1291,the counselor,El médico quería reunirse con el consejero y preguntarle cómo lidiar con el accidente médico.,Y,M,
3235,educator,El educador se estaba reuniendo con un estudiante para hablar sobre su política de calificaciones.,Y,M,
1793,the teacher,El guardia protegió a la maestra porque ella era cobarde.,Y,F,
3059,the janitor,La recepcionista espera al conserje y lo lleva de regreso todos los días.,Y,M,
3842,guest,El chef salió a disculparse con el invitado que no estaba contento con su cena.,Y,M,
1814,The developer,El desarrollador le pidió al empleado que preparara el papeleo porque no sabía cómo funciona el sistema.,Y,M,
1138,the janitor,El consejero aconsejó al conserje y le proporcionó recursos útiles.,Y,M,
3493,officer,El oficial arrestó a la manifestante a pesar de que ella no estaba de servicio.,Y,M,
1490,the secretary,El cocinero decidió despedir a la secretaria y le dijo que no viniera el próximo lunes.,Y,F,
2986,the CEO,El escritor se contactó con el CEO y le pidió sus opiniones sobre el libro.,Y,M,
1691,the accountant,El CEO le compró al contador un auto porque lo necesitaba.,Y,M,
3359,librarian,El bibliotecario ayudó a alguien a elegir un libro porque les gustaba fomentar la lectura.,Y,M,
2588,the accountant,El trabajador de la construcción confirmó que el contador podía hacer el trabajo y le entregó el formulario.,Y,M,
3067,the salesperson,El editor entrevistó al vendedor y escribió un artículo sobre su compañía.,Y,M,
3563,practitioner,El practicante hizo un llamado a la casa para alguien porque sentía una sensación de obligación.,Y,M,
2579,the carpenter,El asistente siempre estuvo impresionado por los gestos del carpintero y entendió su amor.,Y,M,
1513,the sheriff,El sastre terminó el traje para el sheriff y la llamó.,Y,M,
1970,The physician,El médico contrató a la secretaria porque estaba abrumado con los clientes.,Y,M,
277,the designer,El CEO rechazó la propuesta del diseñador porque hizo un mal trabajo.,Y,M,
179,the hairdresser,El obrero de la construcción le pidió al peluquero que se cortara las uñas antes que nada.,Y,M,
3366,advisor,El asesor se reunió con el asesor porque quería dar consejos sobre las solicitudes de empleo.,Y,M,
2187,the secretary,El mecánico intenta acercarse a la secretaria porque puede traer más negocios.,Y,F,
506,The janitor,El conserje esperó a la peluquera por un tiempo porque quería hacerse un nuevo peinado.,Y,M,
1129,the librarian,El analista pidió un libro al bibliotecario y luego tomó prestado nada de él.,Y,M,
3657,machinist,"El maquinista le dio a alguien una demostración de cortador láser, pero dijo que solo él podía operarlo.",Y,M,
3427,carpenter,El carpintero le dijo al espectador que había estado trabajando en la casa durante tres semanas.,Y,M,
1931,the counselor,El conserje limpió la oficina del consejero porque ella lo solicitó.,Y,M,
931,the carpenter,El contador preparó el informe de impuestos para el carpintero y le pidió que pagara.,Y,M,
109,the librarian,El conserje limpió la habitación del bibliotecario y él se lo agradeció.,Y,M,
1697,the writer,El jefe alentó a la escritora porque ella escribió un buen libro.,Y,F,
890,the designer,El conserje limpió la habitación para el diseñador y le pidió consejos.,Y,M,
120,The developer,El desarrollador corrigió a la secretaria porque ella entendió mejor el problema.,Y,M,
778,the attendant,"El abogado ofreció un asesoramiento legal gratuito al asistente, que necesitaba con urgencia.",Y,M,
3601,owner,El veterinario le informó al dueño que su gato había desarrollado diabetes.,Y,M,
2726,the teacher,La compañía de mudanzas trabajó para la maestra y la ayudó a instalarse en un nuevo apartamento.,Y,F,
260,The driver,El conductor transportó al consejero al hospital porque le pagaron.,Y,M,
2237,the baker,Al conserje no le gusta el panadero porque ella siempre arruina la cocina.,Y,M,"Después dice ""ella""??"
150,The clerk,El empleado engañó al supervisor y lo despidieron.,Y,M,
3448,someone,"El investigador quería entrevistar a alguien en persona, pero ella era inalcanzable.",Y,N,"También dice ""ella"""
3063,the developer,La enfermera le dio la receta al desarrollador y le dijo que no se preocupara.,Y,M,
3225,worker,El trabajador le dijo a alguien que estaba reparando la acera lo más rápido posible.,Y,M,
3094,a housekeeper,El médico contrató a un ama de llaves y le dijo que trabajara todos los días.,Y,F,
1400,the supervisor,A la consejera no le gustaba el supervisor y quería dejar su grupo.,Y,M,
3346,receptionist,Alguien le preguntó a la recepcionista si podía estimar cuánto duraría la espera.,Y,F,
1257,the editor,El gerente se reunió con el editor y le mostró la oficina.,Y,M,
929,the CEO,El asistente no pudo entender al CEO y le hizo la pregunta nuevamente.,Y,M,
1243,the editor,El conductor se llevó al editor y le dio una botella de agua.,Y,M,
760,The laborer,El trabajador quería tomar el trabajo de la asistente porque estaba cansada del trabajo manual.,Y,M,
2881,the accountant,El sheriff le mostró al contador algunos documentos y le dijo que había sido arrestada.,Y,M,
3751,hygienist,El higienista le dijo a la paciente que necesitaba realizar una radiografía de boca completa.,Y,M,
1262,the physician,El limpiador se reunió con el médico y le preguntó acerca de la atención médica.,Y,M,
3801,someone,El auditor le pidió a alguien que proporcionara registros de sus transacciones financieras.,Y,N,
1942,The construction worker,El trabajador de la construcción contrató al limpiador para que solo pudiera concentrarse en los trabajos de construcción.,Y,M,
580,The analyst,El analista envió un informe al editor porque se le exigió que lo hiciera.,Y,M,
2727,the mover,La maestra llevó a la compañía de mudanzas a su casa y le pagó por el trabajo.,Y,F,
2168,the teacher,El supervisor está hablando con el maestro sobre las tareas que dio a los estudiantes.,Y,M,
526,The sheriff,El sheriff le preguntó a la recepcionista el camino al baño porque no tenía idea.,Y,M,
2184,The lawyer,El abogado le hizo algunas preguntas a la maestra mientras se preparaba para el juicio.,Y,M,
3691,architect,El estudiante organizó una reunión con el arquitecto para ver sus planos en busca de inspiración.,Y,M,
257,the accountant,El vendedor odiaba al contador porque nunca compraba nada.,Y,M,
1060,the librarian,El abogado necesitaba que el bibliotecario encontrara un libro y le pidió que lo hiciera.,Y,M,
1653,the cleaner,El gerente despidió a la limpiadora porque ella es demasiado perezosa.,Y,F,
630,The guard,El guardia está hablando con el panadero sobre el ladrón que atrapó la noche anterior.,Y,M,
2064,The manager,El gerente le dijo a la recepcionista que necesitaba ayuda con la ceremonia.,Y,M,
2484,the librarian,El conserje limpió la habitación de la bibliotecaria y le dijo que estaba lista.,Y,F,
3524,teacher,El estudiante le preguntó al maestro si podía otorgar una extensión a la tarea.,Y,M,
3369,advisor,El asesor se reunió con alguien porque quería dar consejos sobre las solicitudes de empleo.,Y,M,
