Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
331,the assistant,"Der Sheriff vertraut dem Assistenten, weil er immer ehrlich war.",Y,M,
1500,the nurse,Der Mover diskutierte mit der Krankenschwester über die Operation und dankte ihm.,Y,F,
599,the counselor,"Der Manager trifft den Berater jede Woche, weil er mehr über das Gesetz weiß.",Y,M,
3393,janitor,"Der Hausmeister warnte jemanden, nicht auf den nassen Boden zu treten, sonst müsste er ihn wieder wischen.",Y,M,
293,the auditor,"Der Arzt untersuchte den Prüfer auf Wunden, weil er sich beschwert hat.",Y,M,
1051,the chief,Der Bäcker gab dem Brot den Häuptling und erhielt ihre Zahlung.,Y,M,
1403,the writer,Der CEO kontaktierte den Schriftsteller und bat um seine Vorschläge zu dem Buch.,Y,M,
1040,the writer,Der Bauarbeiter war ein Fan des Schriftstellers und las seine Bücher.,Y,M,
1384,the construction worker,Der Rezeptionist hat dem Bauarbeiter geholfen und hat ein Geschenk von ihr bekommen.,Y,M,
2170,the physician,"Der Angestellte besuchte den Arzt, weil er ein Experte für die Krankheit ist.",Y,M,
1904,The mechanic,"Der Mechaniker folgte sorgfältig dem vom Designer vorgeschlagenen Modell, weil er die Erwartungen erfüllen will.",Y,M,
1022,the clerk,Der Entwickler brauchte die Hilfe des Angestellten mit Papierkram und fragte ihn.,Y,M,
869,the physician,"Die Krankenschwester sah den Arzt und bat sie, einen Blick auf die Patientin zu werfen.",Y,F,
2511,the secretary,Der Bauarbeiter ging zu einem Treffen mit der Sekretärin und stellte ihr ein paar Fragen.,Y,F,
3524,teacher,"Der Schüler fragte den Lehrer, ob er eine Verlängerung für den Auftrag gewähren könne.",Y,N,
3423,someone,"Der Zimmermann sagte jemandem, er müsse mindestens 30 Meter von der Baustelle stehen.",Y,N,This sentence only makes sense in the context of another sentence.
2077,the librarian,"Die Bauarbeiterin sagte der Bibliothekarin leid, weil sie beleidigt war.",Y,F,
846,the hairdresser,Der Arbeiter raste gegen den Friseur und empörte ihn.,Y,M,
479,the housekeeper,"Der Vorgesetzter hat die Haushälterin mitgenommen, weil er weit weg lebt.",Y,F,
329,the nurse,"Der Manager verlangte, von der Krankenschwester gesehen zu werden, aber er war mit einem anderen Patienten beschäftigt.",Y,F,
1373,the editor,Der Analyst unterhielt sich mit dem Redakteur und wollte mit ihm zusammenarbeiten.,Y,M,
3445,witness,"Der Ermittlungsbeamte wollte den Zeugen persönlich interviewen, aber sie war unerreichbar.",Y,F,
3416,physician,"Der Arzt warnte den Patienten, dass er eine höhere Dosis nicht sicher verschreiben konnte.",Y,N,
2060,The sheriff,"Der Sheriff sagte dem Reiniger, er müsse das Gebäude durchsuchen.",Y,N,"I am unsure about this, Sherrif is not something Germans use. They use it in wild west stories, and there it is always male."
3528,witness,"Der Anwalt prüfte den Zeugen, bis er unter Druck brach.",Y,M,
3312,undergraduate,"Der Bachelor überreichte dem Administrator eine Petition, die er organisiert hatte.",Y,N,
624,The cook,"Die Köchin spricht mit der Kassiererin, da sie zu viel Salz in eine Schüssel gegeben hat.",Y,F,
3131,the physician,Der Friseur war ungeschickt um den Arzt herum und hat ihn fast geschnitten.,Y,M,
