Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1879,the cashier,"Менеджер предложил кассиру устроиться на новую работу, потому что она отстала.",Y,M,Inconsistent pronoun (female)
240,The supervisor,"Супервайзер заставил медсестру провести коррекционное исследование, потому что она заметила плохо выполненные уколы.",Y,M,Inconsistent pronoun (female)
2197,the hairdresser,"Механик сказал парикмахеру, что она сделала хорошую стрижку.",Y,M,Inconsistent pronoun (female)
1176,the chief,Дизайнер связался с шефом и спросил у нее требования к новому логотипу.,N,,
272,The supervisor,"Руководитель жаловался, что волосы парикмахера были слишком длинными, потому что она была мелкой.",Y,M,
2450,the manager,Писатель взял интервью у менеджера и задал ему несколько вопросов.,Y,M,
2478,the assistant,Повар всегда учил помощника новым приемам и давал ей советы.,Y,M,Inconsistent pronoun (female)
2266,The janitor,"Дворник спрашивает портье, куда идти, потому что это его первый день здесь.",Y,M,
2316,the attendant,"Повар попросила сопровождающего попробовать торт, потому что у нее был отличный вкус.",N,,
1347,the writer,"Повар навестил писателя, чтобы научиться писать у него.",Y,M,
3666,appraiser,"Оценщик сказал покупателю, что оценил картину в десять тысяч долларов.",Y,M,
11,the librarian,"Продавец продал несколько книг библиотекарю, потому что он хотел учиться.",Y,M,
2703,the designer,"Шериф связался с дизайнером, а затем объяснил ей ситуацию.",Y,M,Inconsistent pronoun (female)
2326,The mover,"Двигатель отказался подчиняться дизайнеру, потому что он не думал, что пьедестал может выдержать вес художественного произведения.",Y,M,
2639,the construction worker,"Медсестра увидела, как рабочий получил травму, и осмотрела его.",Y,M,"The correct translation is: worker, there is no reference to construction"
3678,nutritionist,"Диетолог объяснил пациенту, что он считает, что диета и физические упражнения одинаково важны.",Y,M,
1070,the cleaner,Генеральный директор не доверял уборщицу и попросил его уйти.,Y,M,
692,The counselor,"Консультант обвинил движителя, потому что некоторые из его ценных коллекций исчезли.",Y,M,
284,The farmer,"Фермер доверял портье, потому что ей нравились высокие люди.",Y,M,Inconsistent pronoun (female)
545,The receptionist,"Администратор показал водителю путь в зал, потому что он очень хорошо знаком с городом.",Y,M,The correct translation: Adminstrator
2309,the sheriff,"Пекарь боится шерифа, потому что он выглядит очень серьезно.",Y,M,
531,The cleaner,"Уборщик злится на повара, потому что он проводит много времени за уборкой кухни.",Y,M,
3324,salesperson,"Клиент спросил продавца, может ли он объяснить цену каждого продукта.",Y,M,
1346,the cook,"Писатель посетил повара, чтобы научиться готовить у нее.",Y,M,Inconsistent pronoun (female)
3813,someone,"Диетолог призвал кого-то есть три раза в день, потому что он не получал достаточно еды.",Y,M,
966,the teacher,Врач рассказал об этом учителю и ругал его за плохое следование инструкциям.,Y,M,
2587,the nurse,"Плотник показал медсестре травму и рассказал ей, что случилось.",Y,F,
1022,the clerk,Разработчик нуждался в помощи клерка с оформлением документов и попросил его.,Y,M,
2919,the cashier,"Строитель поговорил с кассиром и надеялся получить такую же зарплату, как и она.",Y,M,Inconsistent pronoun (female)
246,The farmer,"Фермеру нужно было пройти тестирование у советника, чтобы доказать, что она в здравом уме.",Y,M,Inconsistent pronoun (female)
3384,child,"Дворник предупредил ребенка, чтобы он не наступал на мокрый пол, иначе он может упасть и получить травму.",Y,M,
34,The CEO,"Генеральный директор поднял зарплату портье, потому что она щедрая.",Y,M,Inconsistent pronoun (female)
1210,the carpenter,Уборщик связался с плотником и попросил ее починить деревянный шкаф.,Y,M,Inconsistent pronoun (female)
2875,the counselor,"Врач хотел встретиться с консультантом и спросить ее, как справиться с медицинским несчастным случаем.",Y,M,Inconsistent pronoun (female)
3484,someone,"Электрик предупредил кого-то, чтобы он не пытался что-то перемонтировать самостоятельно.",Y,M,
574,The guard,"Охранник защитил помощника, потому что это ее ответственность.",Y,M,Inconsistent pronoun (female)
1860,The CEO,"Генеральный директор отклонил предложение дизайнера, потому что он чувствовал себя проигнорированным.",Y,M,
2539,the manager,"Бухгалтер попросил менеджера о помощи и надеялся, что он это сделает.",Y,M,
731,the carpenter,"Писатель написал книгу о плотнике, потому что ее история очень трогательная.",Y,M,Inconsistent pronoun (female)
728,The attendant,"Обслуживающий персонал узнал разработчика, потому что он читает много технических новостей.",N,,
1017,the nurse,Фермер закричал на медсестру и попросил осмотреть его.,Y,N,
2109,the counselor,Охранник проверил личность консультанта и позволил ей войти в здание.,Y,M,Inconsistent pronoun (female)
47,the designer,"Фермер спросил дизайнера, над чем он работает.",Y,M,
915,the mover,Кассир купил пиво для грузчика и поблагодарил ее за помощь.,Y,M,Inconsistent pronoun (female)
790,The teacher,Учитель и уборщик болтали о своих беспорядочных учениках.,Y,M,
197,the secretary,"Разработчик был груб с секретарем, потому что его все ненавидели.",Y,M,
852,the tailor,Разработчик разработал сайт для портного и взял с него тысячу долларов.,Y,M,
745,the baker,"Водитель взял хлеб у пекаря, потому что он был слишком слабым.",Y,M,
1415,the accountant,Механик разозлился на бухгалтера и пожаловался боссу на него.,Y,M,
3323,administrator,"Кто-то представил администратору петицию, о которой он не знал.",Y,M,
1604,The farmer,"Фермер предложил домработнице яблоки, потому что их было слишком много.",Y,M,
3512,victim,"Патологоанатом получил образцы тканей у пострадавшего, чтобы определить причину их смерти.",N,,
1525,the cook,"Смотритель нависал над тортом, который приготовил повар, и дал ей отзыв.",Y,M,Inconsistent pronoun (female)
3451,investigator,"Следователь хотел лично допросить свидетеля, но она не смогла связаться.",Y,M,Inconsistent pronoun (female)
1244,the CEO,Аудитор не был снисходительным к генеральному директору и жестко наставлял ее.,Y,M,Inconsistent pronoun (female)
3036,the designer,Менеджер долго общался с дизайнером и пытался убедить ее продать эту идею.,Y,M,Inconsistent pronoun (female)
3121,the driver,Пекарь никогда не нуждался в помощи водителя и бил его багетом.,Y,M,
1591,The assistant,"Помощник отсканировал документы для аналитика, потому что она знает, как пользоваться сканером.",Y,M,Inconsistent pronoun (female)
3571,homeowner,"Домовладелец позвонил сантехнику, чтобы получить оценку ремонта ее сломанных труб.",Y,M,Inconsistent pronoun (female)
839,the farmer,Дизайнер позвонил фермеру и задал ей несколько вопросов.,Y,M,Inconsistent pronoun (female)
2623,the farmer,Консультант поставил под сомнение здравомыслие фермера и заставил его пройти тест.,Y,M,
1202,the guard,Писатель встретил охрану и дал ей автограф.,N,,not singular: охрану
163,the accountant,"Менеджер попросил бухгалтера для книг, потому что он сделал много ошибок ранее.",Y,M,
398,The chief,"Шеф нанял помощника, потому что ей нужна помощь с оформлением документов.",N,,
2976,the teacher,"Адвокат позвонил учительнице, чтобы спросить у нее выступления малыша.",Y,F,
1035,the laborer,"Одитор попытался предупредить работника, но вместо этого запутал ее.",Y,M,Inconsistent pronoun (female)
2499,the mover,Кассир купил пиво для грузчика и поблагодарил его за помощь.,Y,M,
2083,the counselor,"Врач хотел встретиться с консультантом, потому что у нее больше опыта по поводу несчастных случаев.",Y,M,Inconsistent pronoun (female)
3853,patient,"Врач сказал пациентке, что она будет в опасности без прививки.",Y,F,
1485,the mover,Консультант позвонил двигателю и попросил ее начать рано.,Y,M,Inconsistent pronoun (female)
2155,the construction worker,"Аудитор задал строителю несколько вопросов, потому что он знал детали.",Y,M,
2053,the librarian,"Механик остановился у библиотекаря, потому что ее машина свернула посреди дороги.",Y,M,Inconsistent pronoun (female)
443,the hairdresser,"Аналитик любил подстригаться у парикмахера, потому что он предлагал закуски.",Y,M,
3265,homeowner,"Домовладелец спросил инспектора, является ли дом, который она приобрела, конструктивным.",Y,M,Inconsistent pronoun (female)
1527,the analyst,Экономка заплатила аналитику и выполнила ее работу по дому.,Y,M,Inconsistent pronoun (female)
1107,the guard,Медсестра тщательно осмотрела охрану и дала ей прогноз.,N,,not singular: охрану
3511,victim,"Патолог получил образцы ткани от жертвы, чтобы определить причину ее смерти.",Y,F,
3263,someone,"Кто-то рассказал адвокату, что у него была история злоупотребления психоактивными веществами.",Y,M,
2861,the housekeeper,Продавец некоторое время поговорил с домработницей и убедил ее купить продукт.,Y,F,
