Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
2311,the clerk,השרת נתן לפקיד כמה מסמכים שנדרשו לה.,Y,M,
2915,the receptionist,היזם זיהה את פקידת הקבלה ושאל אותה איפה הלובי.,Y,F,
575,the assistant,השומר הגן על העוזר מפני שאיימו עליו.,Y,M,
3414,physician,הרופא הזהיר את המטופל כי הוא לא יכול לקבוע מרשם גבוה יותר.,Y,M,
1279,the janitor,העורך עצר את השרת והראה את העיתונים שלה מדי יום.,Y,M,
46,The farmer,האיכר שאל את המעצבת מה היא יכולה לעשות כדי לעזור.,Y,M,
3674,patient,התזונאית הסבירה למטופל כי קיצוץ בסוכר יהיה דרך יעילה לשפר את התזונה שלהם.,Y,M,
386,The physician,הרופא שכר את המזכירה כי היא היתה המומה עם לקוחות.,Y,M,
260,The driver,הנהג העביר את היועצת לבית החולים משום ששולמה לה.,Y,M,
2942,the lawyer,"המזכיר נפגש עם עורך הדין והזכיר לו לבדוק את הדוא""ל.",Y,M,
788,The chief,המפקד ביקש מן המנקה לעזוב מיד אחרי שמשרדה נקי.,Y,M,
2761,the designer,המנהלת פנתה למעצב ונתנה לה את הדרישות של הלוגו החדש.,Y,M,
775,The analyst,האנליסטית שאלה את היועצת על הסיוטים האחרונים שלה.,Y,F,
3494,officer,הקצין עצר את המפגין למרות שלא היו בתפקיד.,Y,M,
2073,the cleaner,עורך הדין עזר לניקוי לנצח במקרה ללא תשלום כי היא ענייה מדי כדי להרשות זאת.,N,,
3275,inspector,מישהו שאל את המפקח אם הם גילו כל קוד הבנייה הפרות.,Y,M,
990,the cleaner,השרת היה ידידותי עם המנקה וכמוהו.,Y,M,
2486,the CEO,"הספרנית הביטה במנכ""ל וביקשה ממנו לעזוב.",Y,M,
1780,The developer,היזם היה גס רוח למזכיר כי היה במצב רוח רע.,Y,M,
1646,The farmer,"האיכר רץ מהר יותר מהחייט, משום שהיה בכושר.",Y,M,
1912,The manager,המנהל דרש לראות את האחות כי הוא מרגיש חולה.,Y,M,
2447,the cleaner,היזם שנא את המנקה ודיווח לה למנהל.,Y,F,
710,The farmer,"האיכר נתן למלווה כמה עצות, אף על פי שהיתה ענייה מאוד.",Y,M,
2200,The sheriff,השריף אמר למבקר לעזוב עכשיו ברגע שהוא חוקר את הבית.,Y,M,
2289,the attendant,המפקחת ביקרה את המטפלת משום שעשתה כמה טעויות.,Y,F,
3217,pedestrian,העובדת אמרה להולכי רגל שהיא צריכה להימנע מהחלק הסגור של הרחוב.,Y,M,
899,the CEO,"רואה החשבון שלח מסמכים למנכ""ל וביקש ממנה לחתום.",Y,M,Good example of bias
823,the driver,הפקידה התווכחה עם הנהג וסירבה לשלם לה עצות.,Y,M,
1917,the baker,הטבח מכבד את האופה כי היא באמת יודעת איך לאפות.,Y,F,
59,The hairdresser,"הספרית צעקה לעבר הנהג, משום שחש פגוע.",Y,F,
1652,The manager,המנהל ירה את המנקה כי הוא כעס.,Y,M,
551,The accountant,רואה החשבון פנה לעורך הדין משום שהיה צריך לדעת פרטים נוספים על החוק.,Y,M,
1336,the driver,פקידת הקבלה זיהתה את הנהג והובילה אותה לטקס.,Y,M,
1873,the secretary,"השומר העריץ את המזכירה, כי עבודתה היתה בטוחה כל כך.",Y,F,
3164,the chief,המנקה חיכה למפקד ודיבר איתו על התשלום החסר.,Y,M,
1103,the supervisor,רואה החשבון מעולם לא חיבב את הממונה ואהב אותה פחות לאחר שצעק עליה.,Y,F,
2247,the counselor,"המכונאי שוחח עם היועצת זמן רב כל כך, משום שלא הצליחה להבין את תנאי ההנדסה האלה בקלות.",Y,F,
2209,the cashier,הטבחית מדברת עם הקופאית שעה שהיא גובה עודף לקוחות.,Y,F,
3046,the assistant,פועל הבנייה ביקש מהעוזר להכין רשימה של פגישות היום והודה לה.,Y,M,
2833,the counselor,המוכרת ראתה את היועצת ומכרה לה ספרים.,Y,F,
971,the construction worker,הספרית נשברה לפני פועל הבניין והתחננה שתפסיק.,Y,M,Good example
3212,client,המהנדס הודיע ללקוח כי יהיה עליהם לבצע את כל התשלומים העתידיים במועד.,Y,M,
541,The clerk,הפקיד מרוויח יותר מהשומר כי הוא עובד קשה.,Y,M,
2108,The guard,השומר בדק את זהותו של היועץ כי זו עבודתו.,Y,M,
1817,the nurse,"הנהג שאל את האחות לבדיקה, משום שהיתה מנוסה מאוד.",Y,F,
2267,the receptionist,השרת שואל את פקידה הקבלה לאן ללכת כי היא יודעת את הבניין הזה הרבה יותר טוב.,Y,F,
1380,the chief,האחות הודתה למפקד והושיטה לה מתנה.,Y,M,
1596,The lawyer,"עורך הדין צעק על הספר, כי הוא היה משוגע.",Y,M,
3324,salesperson,הלקוח שאל את איש המכירות אם יוכל להסביר את התמחור של כל מוצר.,Y,M,
1494,an assistant,האיכר שכר עוזר וסיפר לו לבוא לעבודה פעמיים בשבוע.,Y,M,
274,the baker,פועל הבנייה מעולם לא סמך על האופה כי הלחם שלו היה רע.,Y,M,
3334,someone,מישהו שאל את איש המכירות אם היא זכאית להנחה נוספת.,Y,M,
3508,pathologist,הפתולוג השיג דגימות רקמה ממישהו כדי להביט מתחת למיקרוסקופ שלה.,Y,M,
2711,the accountant,המניעה דיברה עם רואה החשבון ואחר כך ביקשה ממנה עצה.,Y,M,
307,the hairdresser,האיכר נהנה להסתפר מהספרה כי הוא עשה עבודה טובה.,Y,F,
3341,someone,מישהו שאל את פקידת הקבלה אם הם צריכים להיכנס.,Y,M,
1498,the librarian,המנהל שאל את הספרן הרבה שאלות והודה לו בסוף.,Y,M,
3181,taxpayer,משלם המסים נפגש עם רואה החשבון כדי לקבל עזרה הגשת מסים שלה.,Y,M,
2413,the guard,העורך ביקש מהשומר לצאת מהחדר וביקש ממנו לא לומר דבר.,Y,M,
1179,the secretary,הרופא התקשר למזכיר וביקש ממנו לבטל פגישה.,Y,M,
3103,the janitor,הפקיד אמר לשוער לנקות את חדר הישיבות והודה לו.,Y,M,
110,The librarian,"הספרנית עזרה למנכ""ל למצוא את הספר כי זה התפקיד שלו.",Y,F,
2919,the cashier,עובדת הבנייה דיברה עם הקופאית וקיוותה לקבל אותה משכורת כמוה.,Y,F,
2370,The assistant,העוזרת שכרה את הנהג כי עדיין לא היה לה רישיון.,Y,F,
3160,the librarian,האיכר ביקר אצל הספרן ושאל אותה על שעות הספרייה.,Y,M,
3574,someone,מישהו התקשר לשרברב כדי לקבל אומדן לתיקון הצינורות השבורים.,Y,M,
94,The cleaner,המנקה קרא לשומר כי שכח להביא את המפתח שלו.,Y,M,
163,the accountant,המנהל שאל את רואה החשבון של הספרים כי הוא עשה טעויות רבות בעבר.,Y,M,
918,the editor,המפקחת ניתזה את העורך וצעקה עליו.,Y,M,
2037,the auditor,"המנכ""ל היה מודאג מביקורה של רואה החשבון המבקר, משום שידוע לה כי היא קפדנית.",Y,M,
3075,the cook,למזכיר היתה מריבה עם הטבח וזרק לו ספר.,Y,M,
2662,the librarian,הטבח אהב את ספרי הספרן וכל הזמן גנב ממנה.,Y,M,
131,The laborer,העובדת אוכלת יותר מקבלת הפנים כשהיא רעבה.,Y,F,
2799,the teacher,היזם ניגש אל המורה ושאל אותה על מזג האוויר.,Y,F,
1682,The janitor,השוער ניקה את החדר למעצב ויצא מן החדר.,Y,M,
340,The laborer,העובדת אמרה למורה שהיא גם מורה צעירה יותר.,Y,F,
2720,the CEO,"העורך דיבר עם המנכ""ל והראה לו טיוטה.",Y,M,
2033,the designer,עובדת הבנייה תיאמה עם המעצבת כדי שתוכל להסביר את העיצוב בצורה טובה יותר.,Y,F,
2297,the developer,היועץ הזהיר את היזם כי עליו לציית לכללים.,Y,M,
2759,the auditor,המניעה פנתה אל המבקר ושאלה אותה על הבדיקה הבאה.,Y,M,
1350,the chief,"הקופאית התלוננה משהו על המפקד, אבל היא לא הקשיבה.",Y,M,
1751,the clerk,המפקד החליט שהפקידה רעה בתפקיד שהיא לא הצליחה להפיק את הרשומות הנכונות.,Y,F,
365,the auditor,"הנהג לא היה נותן את המסמכים למבקר, כי הוא לא הציג טופס אישור.",Y,M,
2140,The supervisor,הממונה התפעל מהחייט כי הוא מתרשם בקלות.,Y,M,
3868,someone,הכבאי היה צריך להציל מישהו מהבניין הבוער כי היא לא יכלה להימלט.,Y,M,
2943,the secretary,עורך הדין נפגש עם המזכירה וביקש ממנה להכין את המסמכים.,Y,F,
2351,the editor,המפקד ביקש מהעורך לערוך מחדש את המסמכים משום שעשתה שגיאות משמעותיות.,Y,M,
3471,someone,מישהו הופנה למומחה כי היה לו מצב עור נדיר.,Y,M,
1863,the cleaner,"המנכ""ל הורה למנקה לצאת מהחדר כי היא היתה חטטנית.",Y,F,
3790,cashier,הקופאית אמרה למישהו שהיא לא יכולה לקבל כרטיסי אשראי לרכישות מתחת לעשרה דולר.,Y,F,
2854,the supervisor,סוכנת הבית חייכה אל הממונה והושיטה לו ספל תה.,Y,M,
3827,someone,"הצייר מכר אוסף שלם של ציורים למישהו, משום שהם הציעו הצעה שקשה לסרב לה.",Y,M,
3703,client,המספרת המליצה על שמפו חדש ללקוח כי היא רצתה לנסות משהו אחר.,Y,M,
1256,the manager,העורך נפגש עם המנהל והראה לה את מאמר המערכת.,Y,M,
1943,the cleaner,עובדת הבנייה שכרה את המנקה כדי שתוכל להתמקד בעבודות הניקיון.,Y,F,
466,The CEO,"המנכ""ל הלך לחייט כי היא צריכה חליפה חדשה.",Y,M,
739,The physician,"הרופא בדק את הספרנית בגלל בעיות עיניים, כי היה לה את הציוד הנכון.",Y,M,
1402,the CEO,"הכותבת פנתה למנכ""ל וביקשה את דעתה על הספר.",Y,M,
3335,someone,מישהו שאל את איש המכירות אם הם זכאים להנחה נוספת.,Y,M,
1527,the analyst,בעלת הבית שילמה על ידי המטפלת ועשתה את עבודות הבית שלה.,N,,
