Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
851,the hairdresser,L'autista gridò dal parrucchiere e gli chiese di scendere dalla macchina.,Y,M,"weird choice of preposition ""l'autista grido' al parrucchiere"" is the right. The driver is shouting at [it translated as ""from""]"
1803,the cashier,L'amministratore delegato ha dato denaro alla cassiera perché voleva ottenere i suoi soldi.,Y,F,"something is off, the original sentence in english would sound as the ""the CEO gave cash to the cashier since he wanted to obtain his money [could be as well her money]"""
1089,the receptionist,L'analista era stanco di ricevere cattive notizie dall'addetto alla reception e gli disse di andarsene.,Y,F,"if it was male would have been ""addetto alla reception"" = receptionist"
2602,the auditor,Il manager ha parlato con l'auditor e le ha detto di rimanere in ritardo.,Y,F,"you can infer that it is 'F' only from the ""le ha detto"", it it was male would have been ""gli ha detto"""
3344,receptionist,Il visitatore ha chiesto alla reception se potevano stimare quanto sarebbe lunga l'attesa.,N,F,"it used ""alla reception"" [a place] as subsitute for the ""receptionist"" [Female]"
1493,the farmer,La segretaria acquistò molti prodotti dal contadino e le chiese uno sconto.,Y,M,
1536,the baker,L'autista percepì la fragilità del fornaio e lo aiutò con le consegne.,Y,M,
2908,the sheriff,L'insegnante ha visitato lo sceriffo e gli ha fatto alcune domande.,Y,M,
138,The carpenter,Il falegname ha fatto un leone di legno per il ragioniere perché è generosa.,Y,M,"""e' generosa"" is wrong since falegname is male, it should have been ""e' generoso"""
18,The physician,Il medico ha detto al fornaio che ha provato il meglio.,Y,M,
1495,the farmer,L'assistente ha riprogrammato la riunione per il contadino e le ha detto di essere ben preparata.,Y,M,"""le ha detto di essere ben preparata"" is wrong since condadino is 'male', it should have been 'gli ha detto di essere ben preparato'"
14,The cook,Il cuoco ha preparato un piatto per l'insegnante perché ha appena imparato un nuovo piatto.,Y,M,
809,the mover,Il parrucchiere superò il motore e rise di lei.,N,,"wrong use of ""lei"" in the end, ""il"" is a masculine article. they can't go together,  the english sentence is ""the hairdresser overtook the mover and laught at her"" "
254,The CEO,L'amministratore delegato è stato esaminato dal consulente per l'idoneità perché la sua stabilità mentale è stata messa in discussione.,Y,M,
1255,the writer,L'avvocato è stato trattenuto dallo scrittore e poi ha ricevuto assistenza legale.,Y,M,
2319,the housekeeper,L'analista ha assunto la governante perché è brava a pulire.,Y,F,
3050,the receptionist,Il capo ha assunto la receptionist e le ha comprato un nuovo telefono per il lavoro.,Y,F,
2894,the supervisor,L'addetto alla reception ha accusato il supervisore dell'errore ma non ha potuto esprimere insoddisfazione nei suoi confronti.,Y,M,
156,The chief,Il capo ha detto al consulente che ha preso il giorno libero.,Y,M,
3729,someone,Il programmatore si è offerto volontario per insegnare a qualcuno a programmare perché voleva diventare uno sviluppatore web.,Y,M,
3450,investigator,"L'investigatore voleva intervistare il testimone di persona, ma non era in grado di entrare in contatto.",Y,M,
934,the cashier,Il meccanico guardò in basso la cassiera e fece commenti inappropriati su di lui.,Y,F,"wrong co-reference  ""fece commenti inappropriate su di lei"" [lei refers to the cashier [F]]"
1190,the chief,L'assistente ha informato il capo di un problema e le ha chiesto di agire.,Y,M,"wrong co-reference 'le' refers to a female while ""il capo"" is male"
331,the assistant,Lo sceriffo si fida dell'assistente perché è sempre stato onesto.,Y,M,
249,the writer,Il muratore conosceva lo scrittore perché era costantemente nei notiziari.,Y,M,
2292,The mover,Il motore sta aspettando l'infermiera perché si è rotto un braccio.,N,M,"the mover gets translated as ""engine"" , instead in this case should be ""traslocatore"""
1746,The manager,Il manager ha chiesto al contabile i libri perché riteneva che il lavoro fosse sbagliato.,Y,M,
3026,the teacher,Il venditore ha parlato con l'insegnante e l'ha invitata a cena.,Y,F,"l'ha invitata a casa"", without it wouldn't have been possible to understand the gender. The noun ends with 'e' which makes it possible to be F/M and the article is the same l' with nouns starting with a vowel"
1587,the clerk,Il meccanico ha dato un regalo al commesso perché era il suo compleanno.,Y,M,
