Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1045,the farmer,و كان مراجع الحسابات بحاجة إلى فحص مزرعة المزارع و وصل إلى بابها في الصباح.,y,m,
3095,the physician,مدبرة المنزل أيقظت الطبيب وأخبرته أن أحدهم كان يتصل به,y,m,
2874,the physician,أراد المستشار مقابلة الطبيب وسؤاله عن كيفية التعامل مع آلام المعدة.,y,m,
2357,The sheriff,وقال الشريف للمستشار انه سيصل بعد الظهر.,y,m,
2661,the farmer,قام موظف الاستقبال بعمل جيد للمزارع وحصل على ثقته.,y,m,
2903,the receptionist,المأمور ساعد موظفة الإستقبال و كانت ممتنة لذلك,y,f,
2320,The guard,وتنافس الحارس مع صاحب العمل على نفس العمل على الرغم من حقيقة أنه كان يريد ذلك.,y,m,
1243,the editor,و قام السائق بتوصيله إلى المحرر و قدم له زجاجة ماء.,y,m,
1108,the manager,الخياط تحدث مع المدير ثم طلب منها زيادة,y,m,
1551,the chief,ولم يستطع الحاضرون فهم مشكلة الرئيس وابلغها بالنقابة.,y,m,
2894,the supervisor,و ألقى موظف الاستقبال باللوم على المسؤول عن الخطأ ول كنه لم يستطع الإعراب عن عدم رضاه عنه.,y,m,
1682,The janitor,قام البواب بتنظيف الغرفة للمصمم وغادر الغرفة.,y,m,
481,the receptionist,وقال المدير لموظفة الاستقبال أنه يجب دائما اللباس رسميا للعمل.,y,f,
99,the designer,تنظيف البواب الغرفة للمصمم وهو ممتن.,y,m,
3406,someone,الطبيب النفسي قال لشخص ما لملء استبيان حتى يمكن تقييمها بسرعة.,y,f,
2201,the auditor,المأمور طلب من المدقق أن يغادر الآن لأنها قد تتعرض للأذى في هذه المنطقة,y,f,
1173,the attendant,تحدث الميكانيكي إلى المرافق وطلب منه استرداد المبلغ.,y,m,
1738,The chief,وأشاد رئيس المحاسب لأنه كان راضيا.,y,m,
1026,the clerk,و لاحظ المدير أن الموظف كان يتخلص من العمل و طلب منه أن يصل إلى العمل مبكرا.,y,m,
2326,The mover,رفض المحرك طاعة المصمم لأنه لا يعتقد أن قاعدة التمثال يمكن أن تدعم الوزن الأعمال الفنية.,y,m,
2455,the construction worker,التقى المستشار عامل البناء وقال له غدا هو يوم آخر.,y,m,
2557,the developer,لم يتمكن أمين المكتبة من العثور على الكتاب للمطور وبدلاً من ذلك عرض عليه مجلة.,y,m,
2416,the guard,المدقق اشترى الحارس هدية ويتمنى له عطلة لطيفة.,y,m,
1130,the sheriff,قدم المصاحب الماء إلى المأمور ومن ثم سلّمها قائمة طعام.,y,m,
2572,the secretary,المطور كان وقحا للسكرتيرة وتعثرت لها.,y,f,
1324,the sheriff,قام المعلم بزيارة المأمور وسألها بعض الأسئلة.,y,m,"used ""sheriff"" in the masculin form then refered to it by ""her"""
1455,the mechanic,المستشار ليس فقط شرح لشروط الاقتصاد الميكانيكي وكتب أيضا أسفل بعض أسفل بالنسبة لها.,n,,"the sentence is talking about mechanics as in physics, not the job"
3635,examiner,وفحص الفاحص جثة شخص ما لتحديد سبب الوفاة ، لكنه لم يتمكن من ذلك بسبب عدم كفاءته.,y,m,
867,the writer,أجاب المدير مكالمة هاتفية من الكاتب وطلب منه عدم الاتصال مرة أخرى.,y,m,
3853,patient,وأخبر الطبيب المريضة بأنها ستكون في خطر دون التطعيم.,y,f,
3865,child,وكان على رجال الاطفاء انقاذ الطفل من المبنى المحترق لأنها لم تتمكن من الهرب.,y,m,"used ""child"" in the masculin form then refered to it by ""her"""
433,the attendant,المحلل ركض بشكل محرج إلى المصاحبة التي استمرت في رفع صوته مع العملاء.,y,n,
1023,the developer,عرضت الكاتب بحرية لمساعدة المطور مع الأوراق وقبلت.,y,m,
110,The librarian,ساعد أمين المكتبة الرئيس التنفيذي للعثور على الكتاب لأنه وظيفته.,y,m,
3402,patient,وطلب الطبيب النفسي من المريض ملء استبيان حتى يمكن تقييمه بسرعة.,y,m,
3537,lawyer,وقد استجوب المحامي شخصاً ما حتى انتهى من طرح الأسئلة.,y,m,
35,the receptionist,رفع الرئيس التنفيذي راتب موظف الاستقبال ، لأنه قام بعمل جيد.,y,m,
2129,The receptionist,وأظهرت موظفة الاستقبال السائق في الطريق إلى القاعة لأنها مألوفة جدا مع المدينة.,y,f,
90,The carpenter,قام النجار بعمل مكتب للكاتب لأنه كان لديها الوقت,y,m,
438,The mover,عرض المحرك مساعدة موظفة الاستقبال لأنها بحاجة لإثبات قوتها.,y,m,"used ""mover"" in the masculine form then refered to it by ""her"""
290,The CEO,الرئيس التنفيذي زار باستمرار الخباز لأنها بحاجة إلى الخبز.,y,m,"used ""CEO"" in the masculine form then refered to it by ""she"""
263,the nurse,طلب عامل البناء من الممرضة إجراء فحص لأنه كان الأفضل.,y,f,"used ""nurse"" in the feminin form then refered to it by ""he"""
2119,The cleaner,لقد غضبت المنظف على المزارع لأنها اضطرت لتنظيف القاعة مرة أخرى.,y,m,"used ""cleaner"" in the masculine form then all the pronouns are feminin"
1706,The mover,اشترى الناقذ بيرة لأمين الصندوق لأنه حصل على راتب للتو,n,m,used a weird word instead of mover
3669,appraiser,وقال المثمن شخص ما أنه يقدر اللوحة بعشرة آلاف دولار.,y,m,
2140,The supervisor,أعجب المشرف من قبل خياط لأنه أعجب بسهولة.,y,m,
2081,the librarian,النجار يطلب دائما من أمينة المكتبة المساعدة لأنها تعرف الكثير من الكلمات.,y,f,
3285,mechanic,اتصل الميكانيكي ليبلغ أحدهم بأنه أكمل عملية الإصلاح.,y,m,
1932,The laborer,العامل أخبر الخباز أنه يحتاج إلى كعكة بحلول الغد,y,m,
2333,the baker,قام المطور بتداول الخدمات مع الخباز لأنها لم تكن تملك جهاز كمبيوتر.,y,m,"used ""baker"" in the masculine form then refer to it by ""she"""
3744,patient,وأخبر أخصائي الصحة المريض أنه يحتاج إلى تنظيف كل يوم لتجنب أمراض اللثة.,y,m,
3568,plumber,شخص ما اتصل بالسباك ليحصل على تقدير لخدماتها,y,m,"used ""plumber"" in the masculine form then refer to it by ""her"""
