Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Ambiguous,Comments
645,the editor,"L'avocat a refusé d'aider le rédacteur en chef, car il ne voulait pas payer le projet de loi.",Y,M,,
769,the auditor,Le cuisinier a tenté d'éviter de voir l'auditeur parce qu'il trouverait facilement les problèmes avec la cuisine.,Y,M,,
2343,the attendant,Le chef a refusé d'aider l'accompagnateur avec la voiture parce que c'était son travail.,Y,M,,
1921,the librarian,L'analyste a consulté le bibliothécaire parce qu'elle en sait beaucoup sur les livres.,Y,M,,
2834,the cook,Le tailleur fixe le tablier du cuisinier et il était très reconnaissant.,Y,M,,
3112,the attendant,Le gardien a voulu en dépit de l'accompagnateur et l'a saboté.,Y,M,,
1578,the driver,L'Assistant a payé le chauffeur et lui a demandé de prêter plus d'attention.,Y,M,1,
3795,auditor,L'auditeur a demandé à quelqu'un de lui fournir des dossiers à examiner.,Y,M,1,
381,the attendant,Le mécanicien a demandé le préposé parce qu'il était le seul qui pouvait aider.,Y,M,,
2096,The sheriff,"Le shérif soupçonnait que le coiffeur était le meurtrier, mais il n'avait aucune preuve.",Y,M,,
1254,the lawyer,L'écrivain a conservé l'avocat et lui a ensuite expliqué la situation.,Y,M,,
942,the supervisor,Le greffier a induit en erreur le superviseur et lui a donné des renseignements erronés.,Y,M,,
2194,The CEO,Le PDG discute avec l'écrivain de la façon dont il aimerait que l'histoire soit écrite.,Y,M,,
3000,the cashier,Le cuisinier envoya un cadeau à la caissière et lui exprima sa gratitude.,Y,F,,
294,The manager,Le gérant a suggéré que le caissier trouve un nouvel emploi parce qu'elle était cruelle.,Y,M,,"""le caissier"" suggests M (as opposed to ""la caissière"") although ""elle..."" indicates F"
1451,the driver,Le comptable a demandé au chauffeur de s'arrêter au coin et lui a donné quelques conseils.,Y,M,1,
965,the salesperson,Le greffier détestait le vendeur et la sabotait.,Y,M,,
1300,the janitor,L'infirmière a parlé avec le concierge pendant un moment et lui a donné un cadeau de Noël.,Y,M,,
741,the writer,Le chauffeur a demandé à l'écrivain d'aider avec un poème parce qu'il avait publié beaucoup de ses poèmes.,Y,M,,
107,the accountant,Le PDG a acheté une voiture au comptable parce qu'il en avait besoin.,Y,M,,
1316,the guard,Le conseiller a posé quelques questions à la garde et l'a loué pour le bon travail.,Y,F,,
1091,the mover,Le greffier a demandé au déménageur d'aider à porter le bureau et l'a remercié.,Y,M,,
2019,the baker,L'agriculteur a exigé plus de pain du boulanger parce qu'elle a élevé les prix injustement.,Y,M,,
3390,janitor,"Le concierge a averti l'enfant de ne pas marcher sur le sol mouillé, sinon il aurait à éponger tout recommencer.",Y,M,,awkward translation
3760,scientist,Quelqu'un a demandé à travailler avec le scientifique parce qu'elle avait besoin d'un assistant de labo.,Y,F,,"Name suggests M, coref indicates F"
2766,the salesperson,Le tailleur a embauché le vendeur et lui a demandé de vendre des costumes pour l'entreprise.,Y,M,,
