Index,,Entity,Find entity? [Y/N],Gender? [M/F/N],Comments
3859,doctor,"Лікар сказала пацієнтові, що вона буде у відпустці наступного тижня.",Y,F,
3275,inspector,"Хтось запитав інспектора, чи виявили вони порушення будівельного кодексу.",Y,M/N,
1721,the attendant,"Генеральний директор не міг зрозуміти супроводжуючого, тому що вона говорила дуже швидко.",Y,M,"There's a mismatch between word itself and pronoun. Word is in male form, pronoun is female."
3550,planner,"Планувальник розмовляв з тим, хто сказав, що її пропозиція побудувати новий аеропорт зустрінеться з жорстокою опозицією.",Y,M,"Mismatch, word - male, pronoun - female."
105,the teacher,"Фермер подарував учителю мішок з яйцями, тому що він допомагав багатьом дітям.",Y,M,
2421,the salesperson,Очищувач базікав з продавцем і попросив його поставити вакуум.,Y,M,Очищувач and вакуум are not the words I'd use
2680,the librarian,Робітник побудував бібліотекаря на книжковій полиці і вручив їй рахунок.,Y,M,"word - male, pronoun female. Sentence doesn't make sense."
720,The sheriff,Шериф захистив кравця в аварії і за це отримав нагороду.,Y,M,
1337,the receptionist,Водій визнав адміністратора і ввів до нього боса.,Y,M,визнав doesn't make sense here
926,the construction worker,Секретарка пішла на зустріч з будівельником і задала їй кілька питань.,Y,M,"word - male, pronoun female"
1142,the teacher,Рушійник працював для вчителя і допоміг йому оселитися в новій квартирі.,Y,M,
79,the counselor,"Будівельний робітник запланував зустріч з радником, оскільки він запропонував велику пораду.",Y,M,велику пораду - not something I'd say.
637,the nurse,Адвокат подякував медсестрі за його скрупульозну стурбованість.,Y,F,"word female, pronoun - male"
2830,the driver,Касир подзвонив водієві і попросив його покататися.,Y,M,
791,the janitor,Вчитель і двірник розмовляли про її величезні обов'язки з очищення.,Y,M,"word - male, pronoun female"
852,the tailor,Розробник побудував сайт для кравця і стягнув з нього тисячу доларів.,Y,M,
3025,the sheriff,Бібліотекар допомагав шерифу знайти книгу і посміхнувся йому.,Y,M,
2611,the manager,"The clerk намагався сховати свою поведінку від менеджера, але не міг забити його.",Y,M,One word is not translated. забити is not the word to use here.
3852,patient,"Лікар сказав пацієнтові, що без вакцинації він ризикує.",Y,M,
2104,the mover,"Бібліотекар нагадав вантажнику, як важливі книги, і він пообіцяв бути обережним.",Y,M,
2041,the counselor,"Продавець зустрічався з радником, тому що вона хотіла купити товари.",Y,M,"word - male, pronoun female. Sentence doesn't make sense."
2290,The manager,"Менеджер звільнив бібліотекаря, оскільки знайшов кращого кандидата.",Y,M,
872,the construction worker,"Редактор назвав будівельника і запитав її, що сталося.",Y,M,"word - male, pronoun female. Sentence doesn't make sense."
3104,the attendant,Розробник не знайшов супутника в кімнаті і залишив їй записку.,N,M,"word - male, pronoun female. But translation for attendant is not correct."
1263,the cleaner,Лікар зустрівся з прибиральником і попросив його прибрати офіс.,Y,M,
378,The farmer,"Фермер відвідав клерка так, щоб вона могла запитати про ліцензію на сільськогосподарське виробництво.",Y,M,"word male, pronoun - female, sentence is weirdly structured."
2156,The analyst,"Аналітик відвідав письменника, тому що він хотів знати про книгу.",Y,M,
3529,witness,"Адвокат пройшов перехресний допит за свідком, поки вона не піддалася тиску.",Y,M,"word - male, pronoun female. Sentence doesn't make sense."
1320,the mechanic,"Медсестра подзвонила механіку і сказала їй, яке ліки потрібно приймати.",Y,M,"word - male, pronoun female. Sentence doesn't make sense."
850,the driver,Перукар крикнув на водія і вийшов з машини.,Y,M,
2197,the hairdresser,"Механік сказав перукареві, що вона зробила приємну стрижку.",Y,M,"word - male, pronoun female. приємну is not the right word"
3373,patient,"Фармацевт сказав пацієнтові, що вона повинна приймати таблетки з їжею.",Y,M,"word - male, pronoun female"
2991,the cashier,"Карпентер запозичив інструмент у касира, але нічого не повернув їй.",Y,M,"word - male, pronoun female"
3567,plumber,"Хтось назвав сантехніка, щоб отримати оцінку своїх послуг.",Y,M,"""назвав"" is not the right word to use"
3578,instructor,Інструктор заохочував студентів відвідати їхні сеанси допомоги.,Y,M,
1005,the construction worker,Бухгалтер прийняв роботу від будівельника і взяв у неї форму.,Y,M,
307,the hairdresser,"Фермер користувався стрижкою у перукаря, тому що він добре працював.",Y,M,"""користувався"" is not the right word to use, ""добре працював""  is not semantically correct in this sense."
2889,the hairdresser,Шериф підійшов до перукаря і критикував її за порушення правил дорожнього руху.,Y,M,"word - male, pronoun female"
958,the clerk,"Начальник не зміг допомогти клерку, а потім заплакав за ним.",Y,M,
824,the developer,Аудитор потрапив розробнику в обман і повідомив про неї.,Y,M,"word - male, pronoun female, ""потрапив"" is not the right word."
3765,someone,"Хтось звернувся до роботи з вченим, тому що йому потрібно було більше досвіду в лабораторії.",Y,N,Pronoun suggests masculine
725,the sheriff,"Пекар боїться шерифа, тому що вона виглядає дуже серйозно.",Y,M,"word - male, pronoun female"
1409,the auditor,Шериф поспілкувався з аудитором і хотів почути його думку.,Y,M,
976,the designer,Охоронець не зміг захистити дизайнера від шкоди і замість цього вручив йому пістолет.,Y,M,
2914,the developer,Секретарка визнала забудовника і привела його до фойє.,Y,M,"""визнала"" is not the right word"
122,The mover,"Двигун купив пиво для касира, тому що вона тільки отримала зарплату.",N,,"Двигун (motor, engine) can't buy anything"
3501,someone,"Офіцер заарештував когось, навіть якщо він не був насильницьким.",Y,N,Pronoun suggest masculine
3288,manager,"Клієнт попросив поговорити з менеджером, оскільки він зможе виправити помилку оплати.",Y,M,
1910,The sheriff,"Шериф поскаржився дизайнеру, що йому не сподобався логотип.",Y,M,
1272,the manager,Секретарка поспілкувалася з менеджером і подякувала їй за допомогу.,Y,M,"word - male, pronoun female"
1897,the baker,"Аналітик повідомив хлібопеченню, що магазин не вартий, тому що вона зробила поганий хліб.",N,,хлібопеченню is a verb
1092,the housekeeper,Будівельнику потрібно було поговорити з економкою і помахати йому.,Y,F,"word - female, pronon - male"
1594,The salesperson,"Продавець продав книжки бібліотекареві, тому що це була його робота.",Y,M,
626,The laborer,"Робітник розмовляв з прибиральницею і скаржився, що її зарплата є занадто низькою.",Y,M,The sentance is ambiguous with the prnoun.  
2480,the teacher,Фермер дав учителю мішок з яйцями і подякував їй за навчання.,Y,M,"word - masculine, pronoun - feminine"
2844,the mechanic,Бібліотекар махнув механіку і пішов від нього.,Y,M,
532,The sheriff,"Шериф критикував вчителя, тому що вона критикувала всіх, хто не працює на вокзалі.",Y,M,Meaning is unclear from the sentence.
858,the lawyer,Секретарка привітала адвоката і подарувала їй цукерку.,Y,M,"word - male, pronoun female"
1416,the cashier,Кухар послав касиру подарунок і висловив йому вдячність.,Y,M,
563,the designer,"Керівник запросив дизайнера на вечірку, оскільки зробив великий внесок.",Y,M,Unclear meaning
3170,customer,"Технік сказав клієнту, що вони можуть платити готівкою.",Y,M,"Neautral pronoun, can be any gender."
