Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
851,the hairdresser,L'autista gridò dal parrucchiere e gli chiese di scendere dalla macchina.,Y,M,
1803,the cashier,L'amministratore delegato ha dato denaro alla cassiera perché voleva ottenere i suoi soldi.,Y,F,
1089,the receptionist,L'analista era stanco di ricevere cattive notizie dall'addetto alla reception e gli disse di andarsene.,Y,M,
2602,the auditor,Il manager ha parlato con l'auditor e le ha detto di rimanere in ritardo.,Y,F,
3344,receptionist,Il visitatore ha chiesto alla reception se potevano stimare quanto sarebbe lunga l'attesa.,Y,F,
1493,the farmer,La segretaria acquistò molti prodotti dal contadino e le chiese uno sconto.,Y,M,
1536,the baker,L'autista percepì la fragilità del fornaio e lo aiutò con le consegne.,Y,M,
2908,the sheriff,L'insegnante ha visitato lo sceriffo e gli ha fatto alcune domande.,Y,M,
138,The carpenter,Il falegname ha fatto un leone di legno per il ragioniere perché è generosa.,Y,M,
18,The physician,Il medico ha detto al fornaio che ha provato il meglio.,Y,M,
1495,the farmer,L'assistente ha riprogrammato la riunione per il contadino e le ha detto di essere ben preparata.,Y,M,
14,The cook,Il cuoco ha preparato un piatto per l'insegnante perché ha appena imparato un nuovo piatto.,Y,M,
809,the mover,Il parrucchiere superò il motore e rise di lei.,,,"translation of ""the mover"" is wrong"
254,The CEO,L'amministratore delegato è stato esaminato dal consulente per l'idoneità perché la sua stabilità mentale è stata messa in discussione.,Y,N,
1255,the writer,L'avvocato è stato trattenuto dallo scrittore e poi ha ricevuto assistenza legale.,Y,M,
2319,the housekeeper,L'analista ha assunto la governante perché è brava a pulire.,Y,F,
3050,the receptionist,Il capo ha assunto la receptionist e le ha comprato un nuovo telefono per il lavoro.,Y,F,
2894,the supervisor,L'addetto alla reception ha accusato il supervisore dell'errore ma non ha potuto esprimere insoddisfazione nei suoi confronti.,Y,M,
156,The chief,Il capo ha detto al consulente che ha preso il giorno libero.,Y,M,
3729,someone,Il programmatore si è offerto volontario per insegnare a qualcuno a programmare perché voleva diventare uno sviluppatore web.,Y,N,
3450,investigator,"L'investigatore voleva intervistare il testimone di persona, ma non era in grado di entrare in contatto.",Y,M,
934,the cashier,Il meccanico guardò in basso la cassiera e fece commenti inappropriati su di lui.,Y,F,
1190,the chief,L'assistente ha informato il capo di un problema e le ha chiesto di agire.,Y,M,
331,the assistant,Lo sceriffo si fida dell'assistente perché è sempre stato onesto.,Y,M,
249,the writer,Il muratore conosceva lo scrittore perché era costantemente nei notiziari.,Y,M,
2292,The mover,Il motore sta aspettando l'infermiera perché si è rotto un braccio.,,,"translation of ""the mover"" is wrong"
